NAME,EBIT(t-1),PB(t-1),QR(t-1),DA(t-1),TATO(t-1),ROS(t-1),OCFTD(t-1),EBIT(t-2),PB(t-2),QR(t-2),DA(t-2),TATO(t-2),ROS(t-2),OCFTD(t-2),TARGET
FIR,47,2.2,1.6,32.49,0.27,24.67,-3.91,115,1.8,1.3,31.49,0.58,31.45,62.99,0
FIR,79,2.8,2,36.75,0.34,25.75,-24.3,47,2.2,1.6,32.49,0.27,24.67,-3.91,0
FIT,322,1.6,2.9,21.46,0.2,18.92,-0.7,149,1.6,4.2,23.41,0.22,6.99,5.9,0
FLC,984,0.3,1,64.52,0.36,2.28,1.66,1305,0.4,1,63.62,0.49,4.41,4.71,0
FMC,251,1.9,1,36.82,2.58,5.12,6.67,253,1.6,0.9,38.26,2.44,6.2,95.7,0
FMC,303,1.9,1.7,26.78,1.93,5.52,24.62,251,1.9,1,36.82,2.58,5.12,6.67,0
FPT,5648,2.9,1.1,55.42,0.71,14.83,27.41,5024,2.7,1.1,49.69,0.83,14.11,23.5,0
FPT,6821,4.6,1.1,60.11,0.66,15,18.09,5648,2.9,1.1,55.42,0.71,14.83,27.41,0
FRT,686,4.7,0.6,84.43,2.09,1.97,-16.19,142,2.1,0.8,77.25,2.72,0.07,36.47,0
FTM,-129,4.5,0.6,93.56,0.17,-96.55,6.35,-110,0.2,0.9,78.99,0.05,-246.91,-4.76,1
GAB,3,18.1,1.7,27.68,1.57,0.28,-38.71,23,1.4,2.7,17.86,0.96,8.51,-17.14,0
GAB,6,17.9,1.3,43.79,1.46,0.47,-40.16,3,18.1,1.7,27.68,1.57,0.28,-38.71,0
GAS,10079,3.2,3.9,21.69,1.01,12.43,53.47,15266,3.4,4,20.21,1.21,16.11,100.93,0
GAS,11509,3.5,2.9,33.74,1,11.21,28.58,10079,3.2,3.9,21.69,1.01,12.43,53.47,0
GDT,101,2.4,1.8,32.08,1,20,56.25,94,1.5,2.4,28.17,0.88,21.64,63.3,0
GDT,77,4,1.2,30.45,0.89,17.99,29.31,101,2.4,1.8,32.08,1,20,56.25,0
GEG,663,1.8,1.5,55.38,0.19,19.76,9.78,549,2.8,1,61.87,0.17,25.11,-7.96,0
GEG,753,2.1,1.3,70.03,0.11,23.53,29.1,663,1.8,1.5,55.38,0.19,19.76,9.78,0
GEX,1963,2,0.9,69.74,0.66,5.46,1.97,1736,2.1,0.7,59.19,0.72,5.56,9.28,0
GEX,3182,2.8,0.8,66.5,0.47,5.83,-6.18,1963,2,0.9,69.74,0.66,5.46,1.97,0
GIL,410,1.8,1.2,52.38,1.28,8.94,17.69,231,0.7,0.9,55.95,1.34,6.34,29.28,0
GIL,449,2.5,1.2,57.22,1.1,7.98,5.29,410,1.8,1.2,52.38,1.28,8.94,17.69,0
GMC,73,0.8,1.4,46.12,1.21,3.12,22.7,143,1,0.9,53.06,1.7,5.95,37.36,0
GMC,58,1,5.1,15.11,1.29,4.13,117.6,73,0.8,1.4,46.12,1.21,3.12,22.7,0
GMD,660,1.6,0.7,32.94,0.26,16.88,20.22,850,1.1,0.6,35.11,0.26,23.23,29.75,0
GMD,925,2.2,0.7,34.36,0.3,22.49,26.17,660,1.6,0.7,32.94,0.26,16.88,20.22,0
GSP,84,1.1,1.6,47.43,1.76,3.88,33.17,74,1,1.7,49.83,1.54,3.74,28,0
GSP,79,1.3,1.6,49.35,1.26,3.43,6.24,84,1.1,1.6,47.43,1.76,3.88,33.17,0
GTA,36,0.7,1.2,66.73,1.12,3.17,7.08,38,0.6,1,69.33,1.2,2.71,-1.31,0
GTA,31,1,1.1,64.1,1.09,3.13,-11.33,36,0.7,1.2,66.73,1.12,3.17,7.08,0
GTN,250,1,2.6,11.33,0.68,8.74,60.55,11,1.5,2.5,11.65,0.74,0.24,58,1
